time,init_lnnum,vehnum,speed,x,y,signal
0,1,462,15,1,15,green
0,2,463,15,2,15,green
1,1,462,20,1,35,green
1,2,463,15,2,30,green
1,0,464,20,0,20,green
2,1,462,20,1,55,red
2,2,463,15,2,45,red
2,0,464,15,0,35,red
2,0,465,15,0,15,red
2,1,466,15,1,15,red
2,2,467,15,2,15,red
3,1,462,20,1,75,red
3,2,463,15,2,60,red
3,0,464,20,0,55,red
3,0,465,15,0,30,red
3,1,466,20,1,35,red
3,2,467,15,2,30,red
3,1,468,10,1,10,red
3,2,469,10,2,10,red
4,1,462,20,1,95,red
4,2,463,20,2,80,red
4,0,464,15,0,70,red
4,0,465,20,0,50,red
4,1,466,20,1,55,red
4,2,467,15,2,45,red
4,1,468,15,1,25,red
4,2,469,15,2,25,red
4,0,470,15,0,15,red
5,1,462,15,1,110,red
5,2,463,20,2,100,red
5,0,464,15,0,85,red
5,0,465,15,0,65,red
5,1,466,15,1,70,red
5,2,467,20,2,65,red
5,1,468,15,1,40,red
5,2,469,15,2,40,red
5,0,470,15,0,30,red
6,1,462,15,1,125,red
6,2,463,20,2,120,red
6,0,464,20,0,105,red
6,0,465,15,0,80,red
6,1,466,15,1,85,red
6,2,467,15,2,80,red
6,1,468,20,1,60,red
6,2,469,15,2,55,red
6,0,470,20,0,50,red
7,1,462,20,1,145,red
7,2,463,15,2,135,red
7,0,464,20,0,125,red
7,0,465,20,0,100,red
7,1,466,20,1,105,red
7,2,467,20,2,100,red
7,1,468,15,1,75,red
7,2,469,15,2,70,red
7,0,470,20,0,70,red
8,1,462,20,1,165,red
8,2,463,15,2,150,red
8,0,464,15,0,140,red
8,0,465,20,0,120,red
8,1,466,15,1,120,red
8,2,467,20,2,120,red
8,1,468,20,1,95,red
8,2,469,15,2,85,red
8,0,470,15,0,85,red
8,1,471,20,1,20,red
9,1,462,20,1,185,red
9,2,463,20,2,170,red
9,0,464,15,0,155,red
9,0,465,15,0,135,red
9,1,466,20,1,140,red
9,2,467,15,2,135,red
9,1,468,20,1,115,red
9,2,469,15,2,100,red
9,0,470,20,0,105,red
9,1,471,20,1,40,red
9,0,472,15,0,15,red
9,1,473,15,1,15,red
9,2,474,15,2,15,red
9,3,475,15,3,15,red
10,1,462,15,1,200,green
10,2,463,15,2,185,green
10,0,464,15,0,170,green
10,0,465,15,0,150,green
10,1,466,15,1,155,green
10,2,467,20,2,155,green
10,1,468,15,1,130,green
10,2,469,15,2,115,green
10,0,470,15,0,120,green
10,1,471,20,1,60,green
10,0,472,15,0,30,green
10,1,473,15,1,30,green
10,2,474,20,2,35,green
10,3,475,20,3,35,green
10,0,476,10,0,10,green
10,2,477,10,2,10,green
10,4,478,20,4,20,green
11,1,462,15,1,215,green
11,2,463,20,2,205,green
11,0,464,15,0,185,green
11,0,465,15,0,165,green
11,1,466,20,1,175,green
11,2,467,15,2,170,green
11,1,468,20,1,150,green
11,2,469,15,2,130,green
11,0,470,20,0,140,green
11,1,471,20,1,80,green
11,0,472,15,0,45,green
11,1,473,15,1,45,green
11,2,474,20,2,55,green
11,3,475,20,3,55,green
11,0,476,15,0,25,green
11,2,477,20,2,30,green
11,4,478,15,4,35,green
11,1,479,15,1,15,green
11,2,480,5,2,5,green
12,1,462,15,1,230,red
12,2,463,15,2,220,red
12,0,464,20,0,205,red
12,0,465,15,0,180,red
12,1,466,20,1,195,red
12,2,467,15,2,185,red
12,1,468,15,1,165,red
12,2,469,15,2,145,red
12,0,470,20,0,160,red
12,1,471,15,1,95,red
12,0,472,20,0,65,red
12,1,473,15,1,60,red
12,2,474,15,2,70,red
12,3,475,15,3,70,red
12,0,476,15,0,40,red
12,2,477,15,2,45,red
12,4,478,20,4,55,red
12,1,479,20,1,35,red
12,2,480,10,2,15,red
12,0,481,15,0,15,red
12,1,482,10,1,10,red
12,3,483,15,3,15,red
13,1,462,15,1,245,red
13,2,463,20,2,240,red
13,0,464,20,0,225,red
13,0,465,15,0,195,red
13,1,466,15,1,210,red
13,2,467,20,2,205,red
13,1,468,15,1,180,red
13,2,469,15,2,160,red
13,0,470,15,0,175,red
13,1,471,15,1,110,red
13,0,472,15,0,80,red
13,1,473,15,1,75,red
13,2,474,15,2,85,red
13,3,475,10,3,80,red
13,0,476,20,0,60,red
13,2,477,15,2,60,red
13,4,478,15,4,70,red
13,1,479,15,1,50,red
13,2,480,20,2,35,red
13,0,481,20,0,35,red
13,1,482,20,1,30,red
13,3,483,15,3,30,red
13,0,484,10,0,10,red
13,2,485,10,2,10,red
13,4,486,20,4,20,red
14,1,462,20,1,265,red
14,2,463,20,2,260,red
14,0,464,20,0,245,red
14,0,465,20,0,215,red
14,1,466,20,1,230,red
14,2,467,15,2,220,red
14,1,468,15,1,195,red
14,2,469,20,2,180,red
14,0,470,15,0,190,red
14,1,471,15,1,125,red
14,0,472,20,0,100,red
14,1,473,20,1,95,red
14,2,474,15,2,100,red
14,3,475,0,3,80,red
14,0,476,15,0,75,red
14,2,477,15,2,75,red
14,4,478,10,4,80,red
14,1,479,20,1,70,red
14,2,480,15,2,50,red
14,0,481,20,0,55,red
14,1,482,15,1,45,red
14,3,483,15,3,45,red
14,0,484,15,0,25,red
14,2,485,20,2,30,red
14,4,486,15,4,35,red
14,1,487,15,1,15,red
14,2,488,5,2,5,red
14,3,489,20,3,20,red
15,1,462,20,1,285,red
15,2,463,15,2,275,red
15,0,464,20,0,265,red
15,0,465,20,0,235,red
15,1,466,15,1,245,red
15,2,467,15,2,235,red
15,1,468,20,1,215,red
15,2,469,15,2,195,red
15,0,470,15,0,205,red
15,1,471,15,1,140,red
15,0,472,20,0,120,red
15,1,473,15,1,110,red
15,2,474,20,2,120,red
15,3,475,0,3,80,red
15,0,476,15,0,90,red
15,2,477,20,2,95,red
15,4,478,0,4,80,red
15,1,479,20,1,90,red
15,2,480,15,2,65,red
15,0,481,15,0,70,red
15,1,482,20,1,65,red
15,3,483,20,3,65,red
15,0,484,15,0,40,red
15,2,485,15,2,45,red
15,4,486,20,4,55,red
15,1,487,15,1,30,red
15,2,488,15,2,20,red
15,3,489,15,3,35,red
15,0,490,20,0,20,red
15,1,491,10,1,10,red
16,1,462,15,1,300,red
16,2,463,15,2,290,red
16,0,464,15,0,280,red
16,0,465,20,0,255,red
16,1,466,15,1,260,red
16,2,467,15,2,250,red
16,1,468,20,1,235,red
16,2,469,15,2,210,red
16,0,470,15,0,220,red
16,1,471,15,1,155,red
16,0,472,15,0,135,red
16,1,473,20,1,130,red
16,2,474,20,2,140,red
16,3,475,0,3,80,red
16,0,476,15,0,105,red
16,2,477,15,2,110,red
16,4,478,0,4,80,red
16,1,479,15,1,105,red
16,2,480,15,2,80,red
16,0,481,15,0,85,red
16,1,482,20,1,85,red
16,3,483,10,3,75,red
16,0,484,20,0,60,red
16,2,485,15,2,60,red
16,4,486,15,4,70,red
16,1,487,15,1,45,red
16,2,488,20,2,40,red
16,3,489,20,3,55,red
16,0,490,15,0,35,red
16,1,491,15,1,25,red
16,0,492,15,0,15,red
16,2,493,15,2,15,red
16,3,494,15,3,15,red
16,4,495,20,4,20,red
17,1,462,20,1,320,red
17,2,463,15,2,305,red
17,0,464,15,0,295,red
17,0,465,15,0,270,red
17,1,466,15,1,275,red
17,2,467,15,2,265,red
17,1,468,15,1,250,red
17,2,469,15,2,225,red
17,0,470,15,0,235,red
17,1,471,20,1,175,red
17,0,472,15,0,150,red
17,1,473,20,1,150,red
17,2,474,20,2,160,red
17,3,475,0,3,80,red
17,0,476,20,0,125,red
17,2,477,20,2,130,red
17,4,478,0,4,80,red
17,1,479,20,1,125,red
17,2,480,15,2,95,red
17,0,481,15,0,100,red
17,1,482,15,1,100,red
17,3,483,0,3,75,red
17,0,484,20,0,80,red
17,2,485,15,2,75,red
17,4,486,5,4,75,red
17,1,487,15,1,60,red
17,2,488,15,2,55,red
17,3,489,15,3,70,red
17,0,490,20,0,55,red
17,1,491,15,1,40,red
17,0,492,15,0,30,red
17,2,493,15,2,30,red
17,3,494,20,3,35,red
17,4,495,15,4,35,red
17,1,496,15,1,15,red
17,2,497,10,2,10,red
18,1,462,20,1,340,red
18,2,463,15,2,320,red
18,0,464,15,0,310,red
18,0,465,15,0,285,red
18,1,466,15,1,290,red
18,2,467,20,2,285,red
18,1,468,20,1,270,red
18,2,469,20,2,245,red
